packageId	centralVersion
Aspire.Hosting.AppHost	13.4.6
Aspire.Hosting.Browsers	13.4.6-preview.1.26319.6
Aspire.Hosting.JavaScript	13.4.6
Azure.AI.OpenAI	2.1.0
Azure.Identity	1.21.0
BouncyCastle.Cryptography	2.6.2
CommunityToolkit.Aspire.Hosting.Sqlite	13.4.0
CommunityToolkit.Aspire.OllamaSharp	13.4.0
DocumentFormat.OpenXml	3.5.1
FastEndpoints	8.2.0
FastEndpoints.Swagger	8.2.0
Meziantou.Analyzer	3.0.121
Microsoft.Agents.AI	1.15.0
Microsoft.Agents.AI.Abstractions	1.15.0
Microsoft.Agents.AI.DevUI	1.15.0-preview.260722.1
Microsoft.Agents.AI.Hosting	1.15.0-preview.260722.1
Microsoft.Agents.AI.Hosting.OpenAI	1.15.0-alpha.260722.1
Microsoft.Agents.AI.Workflows	1.15.0
Microsoft.AspNetCore.Authentication.JwtBearer	10.0.9
Microsoft.AspNetCore.Identity.EntityFrameworkCore	10.0.9
Microsoft.AspNetCore.Mvc.Testing	10.0.9
Microsoft.AspNetCore.SignalR.Client	10.0.9
Microsoft.AspNetCore.TestHost	10.0.9
Microsoft.CodeAnalysis.BannedApiAnalyzers	5.6.0
Microsoft.EntityFrameworkCore.Design	10.0.9
Microsoft.EntityFrameworkCore.Sqlite	10.0.9
Microsoft.EntityFrameworkCore.Tools	10.0.9
Microsoft.Extensions.AI	10.8.1
Microsoft.Extensions.AI.Abstractions	10.8.1
Microsoft.Extensions.AI.OpenAI	10.8.1
Microsoft.Extensions.Configuration.Abstractions	10.0.9
Microsoft.Extensions.DataIngestion.Abstractions	10.7.0-preview.1.26309.5
Microsoft.Extensions.DependencyInjection	10.0.9
Microsoft.Extensions.DependencyInjection.Abstractions	10.0.10
Microsoft.Extensions.Http.Resilience	10.7.0
Microsoft.Extensions.Logging.Abstractions	10.0.10
Microsoft.Extensions.Options.ConfigurationExtensions	10.0.9
Microsoft.Extensions.Options.DataAnnotations	10.0.9
Microsoft.Extensions.ServiceDiscovery	10.7.0
Microsoft.Identity.Client	4.85.2
Microsoft.Identity.Client.Extensions.Msal	4.85.2
Microsoft.IdentityModel.JsonWebTokens	8.19.1
Microsoft.Playwright	1.61.0
Microsoft.Testing.Extensions.CodeCoverage	18.8.0
Microsoft.Testing.Extensions.TrxReport	2.2.3
Microsoft.Testing.Platform	2.2.3
ModelContextProtocol	1.4.1
NetArchTest.Rules	1.3.2
NSec.Cryptography	26.4.0
NSubstitute	5.3.0
OllamaSharp	5.4.25
OpenAI	2.12.0
OpenTelemetry.Exporter.OpenTelemetryProtocol	1.16.0
OpenTelemetry.Extensions.Hosting	1.16.0
OpenTelemetry.Instrumentation.AspNetCore	1.16.0
OpenTelemetry.Instrumentation.Http	1.16.0
OpenTelemetry.Instrumentation.Runtime	1.15.1
PdfPig	0.1.15
Quartz	3.18.2
Quartz.Extensions.Hosting	3.18.2
Quartz.Plugins	3.18.2
Quartz.Plugins.TimeZoneConverter	3.18.2
Quartz.Serialization.SystemTextJson	3.18.2
Scalar.AspNetCore	2.16.10
Scrutor	7.0.0
Serilog	4.3.1
Serilog.AspNetCore	10.0.0
Serilog.Enrichers.Environment	3.0.1
Serilog.Enrichers.Process	3.0.0
Serilog.Enrichers.Thread	4.0.0
Serilog.Expressions	5.0.0
Serilog.Settings.Configuration	10.0.1
Serilog.Sinks.Console	6.1.1
Serilog.Sinks.File	7.0.0
SonarAnalyzer.CSharp	10.28.0.143324
SQLitePCLRaw.lib.e_sqlite3	3.50.3
System.Numerics.Tensors	10.0.10
System.Security.Cryptography.ProtectedData	10.0.9
TUnit	1.58.0
TUnit.Playwright	1.58.0
UTF.Unknown	2.6.0
Velopack	1.2.0
YamlDotNet	18.0.0
